City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
154,nong khai,32,TH,1518321600,51,17.88,102.75,80.6,6.93
155,padang,32,ID,1518325231,100,-0.92,100.36,82.36,7.78
156,faanui,92,PF,1518325232,98,-16.48,-151.75,83.26,16.06
157,vila do maio,20,CV,1518321600,68,15.13,-23.22,64.4,21.92
158,khatanga,80,RU,1518325233,80,71.98,102.47,8.65,21.32
159,tiksi,56,RU,1518325233,50,71.64,128.87,-17.27,3.65
160,jiazi,90,CN,1518321600,72,19.61,110.49,64.4,15.66
161,teguise,0,ES,1518325116,96,29.06,-13.56,60.18,17.85
162,hofn,32,IS,1518325234,100,64.25,-15.21,31.74,35.19
163,ketchikan,90,US,1518321360,100,55.34,-131.65,33.8,6.55
164,roscrea,44,IE,1518325235,87,52.95,-7.8,36.78,13.6
165,ilulissat,0,GL,1518324600,52,69.22,-51.1,-7.61,23.04
166,chara,75,GR,1518322800,87,39.42,22.43,44.6,16.11
167,riberalta,56,BO,1518325237,91,-11.0,-66.08,77.64,2.98
168,san jose de gracia,92,MX,1518325237,88,20.67,-102.58,54.1,2.19
169,ancud,0,CL,1518325237,89,-41.87,-73.83,43.93,4.99
170,ajdabiya,20,LY,1518325238,80,30.75,20.22,49.69,6.55
171,san quintin,20,PH,1518321600,74,17.54,120.52,82.4,11.41
172,mingguang,0,CN,1518325238,38,32.78,118.01,43.53,17.85
173,trincomalee,20,LK,1518325239,75,8.58,81.23,83.98,8.57
174,dikson,92,RU,1518325240,92,73.51,80.55,23.64,19.19
175,vila,0,IT,1518322800,92,45.18,8.4,33.8,4.7
176,orbetello,0,IT,1518321300,86,42.44,11.21,33.8,8.05
177,victoria,75,BN,1518321600,74,5.28,115.24,82.4,6.93
178,porto nacional,88,BR,1518325242,97,-10.7,-48.41,71.11,2.19
179,bilibino,76,RU,1518325243,80,68.06,166.44,3.16,2.53
180,saskylakh,44,RU,1518325243,62,71.97,114.09,-7.42,2.98
181,coahuayana,68,MX,1518325243,86,18.62,-100.35,59.01,2.08
182,martin,90,US,1518322500,93,36.34,-88.85,41.0,5.82
183,chateauroux,92,FR,1518323400,80,43.72,0.65,37.4,2.24
184,sur,0,OM,1518325245,97,22.57,59.53,70.71,12.48
185,portland,75,US,1518321360,70,45.52,-122.67,44.6,6.93
186,balsas,56,BR,1518325225,95,-7.53,-46.04,69.13,2.98
187,ulladulla,90,AU,1518321600,64,-35.36,150.48,71.6,13.87
188,rajkot,0,IN,1518325246,46,22.3,70.8,78.58,8.12
189,chuy,0,UY,1518325247,91,-33.69,-53.46,62.2,5.21
190,iracoubo,92,GF,1518325247,97,5.48,-53.21,73.23,4.54
191,kiunga,92,PG,1518325247,85,-6.12,141.3,80.97,1.52
192,ahipara,64,NZ,1518325248,88,-35.17,173.16,73.63,13.49
193,biak,48,ID,1518325248,89,-0.91,122.88,83.89,2.19
194,khromtau,80,KZ,1518325249,88,50.26,58.44,9.51,4.65
195,saldanha,80,PT,1518325249,84,41.42,-6.55,32.41,3.53
196,mount gambier,0,AU,1518325250,50,-37.83,140.78,70.21,5.77
197,mahebourg,75,MU,1518321600,88,-20.41,57.7,82.4,3.09
198,hami,0,CN,1518325250,47,42.84,93.51,31.11,5.1
199,belfast,12,GB,1518324600,93,54.6,-5.93,35.6,18.34
200,longyearbyen,90,NO,1518321000,74,78.22,15.63,30.2,9.17
201,temir,76,KZ,1518325252,80,49.14,57.13,10.18,4.65
202,miri,0,NG,1518325253,61,10.31,9.75,63.64,4.65
203,tete,92,MZ,1518325253,100,-16.16,33.59,70.08,4.43
204,caravelas,92,BR,1518325253,100,-17.73,-39.27,78.63,12.15
205,mouila,80,GA,1518325254,98,-1.86,11.06,74.31,2.19
206,kyabram,0,AU,1518325254,66,-36.31,145.05,74.31,8.79
207,henties bay,0,NA,1518325255,98,-22.12,14.28,64.63,4.65
208,dongli,75,CN,1518321600,71,24.18,117.61,53.6,11.18
209,dunedin,92,NZ,1518325255,99,-45.87,170.5,62.07,3.65
210,jiuquan,0,CN,1518325256,69,39.73,98.49,20.89,6.22
211,lengshuitan,92,CN,1518325256,97,26.41,111.6,44.61,4.54
212,bluff,0,AU,1518325257,26,-23.58,149.07,100.9,7.78
213,brest,90,BY,1518321600,92,52.09,23.69,23.0,4.47
214,nizwa,0,OM,1518325257,30,22.93,57.53,68.19,3.98
215,la ronge,5,CA,1518321600,64,55.1,-105.3,-2.21,11.41
216,baijiantan,20,CN,1518325258,91,45.63,85.18,5.41,4.09
217,laguna,0,MX,1518325259,69,27.52,-110.01,60.49,3.65
218,dilla,8,ET,1518325259,34,6.41,38.31,64.63,3.98
219,tianpeng,0,CN,1518325260,82,28.88,112.34,50.05,5.55
220,arman,20,RU,1518323400,71,59.7,150.17,6.8,4.47
221,troitsko-pechorsk,76,RU,1518325261,80,62.71,56.19,8.79,3.2
222,geraldton,20,CA,1518321600,76,49.72,-86.95,-7.61,5.66
223,souillac,92,FR,1518323400,93,45.6,-0.6,44.6,17.22
224,kahului,40,US,1518321360,60,20.89,-156.47,71.6,11.41
225,takaka,92,NZ,1518325262,100,-40.86,172.81,66.7,7.0
226,bambous virieux,75,MU,1518321600,88,-20.34,57.76,82.4,3.09
227,kamaishi,75,JP,1518321600,80,39.28,141.86,39.2,5.82
228,zhoukou,0,CN,1518325263,31,33.63,114.64,42.36,17.29
229,bayir,75,TR,1518322800,71,37.27,28.22,57.2,11.41
230,petropavlovsk-kamchatskiy,64,RU,1518323400,42,53.05,158.65,26.6,3.53
231,beira,92,ES,1518321600,93,43.2,-8.36,53.6,6.93
232,ternate,75,PH,1518321600,79,14.29,120.72,84.2,8.05
233,lamu,76,ID,1518325266,97,0.57,122.3,78.13,2.42
234,nouadhibou,32,MR,1518321600,71,20.93,-17.03,57.2,17.22
235,uglovka,88,RU,1518325268,86,58.24,33.51,21.34,8.46
236,jetalsar,0,IN,1518325268,45,21.73,70.57,78.04,6.44
237,harindanga,40,IN,1518321600,46,22.04,88.32,71.6,6.93
238,lavrentiya,88,RU,1518325269,94,65.58,-170.99,31.02,12.82
239,cody,1,US,1518321360,84,44.53,-109.06,6.8,4.7
240,cayenne,75,GF,1518323400,94,4.94,-52.33,75.2,5.82
241,byron bay,32,AU,1518321600,74,-28.65,153.62,84.2,12.75
242,martapura,40,ID,1518321600,83,-3.41,114.85,82.4,4.7
243,lata,44,IN,1518325271,58,30.78,78.62,48.21,1.74
244,praya,40,ID,1518323400,58,-8.71,116.27,87.8,6.93
245,salalah,0,OM,1518321000,39,17.01,54.1,62.6,5.82
246,atar,0,MR,1518324997,57,20.52,-13.05,43.98,6.78
247,san ramon,24,NI,1518325273,89,12.92,-85.84,65.26,2.64
248,touros,88,BR,1518325274,100,-5.2,-35.46,74.35,3.09
249,mar del plata,0,AR,1518325274,100,-46.43,-67.52,37.9,3.53
250,ostersund,68,SE,1518322800,79,63.18,14.64,26.6,13.87
251,waterloo,90,CA,1518321600,92,43.47,-80.52,21.2,8.05
252,shawinigan,64,CA,1518325276,79,46.54,-72.75,15.49,2.64
253,udachnyy,56,RU,1518325276,75,66.42,112.4,-0.62,3.2
254,wajid,0,SO,1518325277,66,3.81,43.25,79.89,12.82
255,aykhal,48,RU,1518325277,70,65.95,111.51,0.55,4.21
256,qianan,36,CN,1518325278,62,44.99,124.06,9.64,13.27
257,puebloviejo,40,CO,1518321600,54,10.99,-74.28,84.2,9.17
258,bilma,8,NE,1518325278,56,18.69,12.92,57.61,0.63
259,lazaro cardenas,5,MX,1518320760,41,28.39,-105.62,60.8,12.75
260,miramar,0,CR,1518321600,68,10.09,-84.73,69.8,19.46
261,imbituba,75,BR,1518321600,94,-28.24,-48.67,75.2,2.24
262,adrar,0,DZ,1518321600,36,27.87,-0.29,44.6,5.82
263,tezu,24,IN,1518325281,51,27.93,96.16,60.63,1.07
264,tutoia,92,BR,1518325281,89,-2.76,-42.27,76.92,7.23
265,thompson,90,CA,1518321600,76,55.74,-97.86,-7.61,9.17
266,dingle,80,PH,1518325282,57,11.0,122.67,88.08,8.68
267,bereda,92,ES,1518321600,93,43.27,-7.54,53.6,6.93
268,uddevalla,92,SE,1518322800,79,58.35,11.94,28.4,11.41
269,mehamn,0,NO,1518325284,88,71.03,27.85,23.95,16.51
270,van buren,90,US,1518323160,85,47.16,-67.94,24.8,3.2
271,havre-saint-pierre,90,CA,1518321600,92,50.23,-63.6,14.0,6.93
272,myitkyina,0,MM,1518325285,66,25.38,97.4,73.54,2.98
273,linhares,76,BR,1518325285,96,-19.38,-40.06,72.51,3.09
274,palmer,20,AU,1518321600,43,-34.85,139.16,73.4,17.22
275,ucar,80,AZ,1518325286,97,40.51,47.65,38.98,2.53
276,yar-sale,36,RU,1518325287,74,66.83,70.83,-6.02,7.56
277,leningradskiy,32,RU,1518325287,71,69.38,178.42,14.95,4.54
278,iqaluit,20,CA,1518321600,59,63.75,-68.52,-34.61,4.7
279,nanortalik,80,GL,1518325289,100,60.14,-45.24,26.11,26.35
280,burnie,0,AU,1518325146,95,-41.05,145.91,68.14,16.17
281,itarema,92,BR,1518325290,93,-2.92,-39.92,75.34,6.44
282,kyabe,0,TD,1518325290,45,9.45,18.94,74.71,3.42
283,nishihara,90,JP,1518324960,54,35.74,139.53,55.4,6.93
284,port augusta,0,AU,1518321600,44,-32.49,137.76,75.2,13.87
285,marzuq,0,YE,1518325292,22,14.4,46.47,65.26,3.42
286,fredericton,90,CA,1518322200,100,45.97,-66.65,32.0,3.36
287,kruisfontein,92,ZA,1518325293,84,-34.0,24.73,66.16,4.21
288,yuanping,32,CN,1518325293,38,38.72,112.71,11.89,13.15
289,pavagada,88,IN,1518325294,50,14.1,77.28,80.52,6.78
290,sao miguel do araguaia,24,BR,1518325294,95,-13.28,-50.16,72.01,2.75
291,port lincoln,0,AU,1518325295,78,-34.72,135.86,69.4,10.58
292,sistranda,0,NO,1518321000,59,63.73,8.83,35.6,20.8
293,spirovo,68,RU,1518325296,91,57.42,34.99,21.16,10.8
294,saint-philippe,90,CA,1518323640,92,45.36,-73.48,23.0,4.7
295,grand-lahou,32,CI,1518325296,91,5.24,-5.0,76.56,3.65
296,nuuk,56,GL,1518324600,84,64.17,-51.74,6.8,31.09
297,orsha,92,BY,1518325297,93,54.51,30.43,29.44,8.57
298,cidreira,88,BR,1518325298,93,-30.17,-50.22,73.09,7.78
299,itoman,75,JP,1518324960,62,26.12,127.67,60.8,17.22
300,aksu,44,KZ,1518323400,83,52.04,76.93,-4.01,2.24
301,presidencia roque saenz pena,48,AR,1518325299,87,-26.79,-60.44,77.68,8.12
302,florianopolis,75,BR,1518321600,94,-27.6,-48.55,75.2,2.24
303,dwarka,20,IN,1518321600,34,28.58,77.04,66.2,5.82
304,bowen,0,AU,1518321600,29,-20.01,148.25,91.4,2.24
305,aripuana,56,BR,1518325300,91,-9.17,-60.63,76.06,1.74
306,georgiyevka,64,RU,1518325301,85,52.25,40.45,18.28,13.27
307,ceres,48,AR,1518325301,88,-29.88,-61.95,71.16,3.53
308,tabas,0,IR,1518325301,59,33.6,56.92,45.64,3.65
309,tabalosos,8,PE,1518325302,87,-6.39,-76.63,69.09,3.09
310,severo-kurilsk,92,RU,1518325302,100,50.68,156.12,30.34,7.0
311,pemba,76,MZ,1518325303,97,-12.97,40.52,83.76,11.81
312,cockburn town,44,TC,1518325303,96,21.46,-71.14,78.18,27.92
